series,gsm,patient,histology,module,spots,assayed_fraction,eligible,mean_log1p_norm10000,mean_norm10000,coordinates_available
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_E2F_TARGETS,4290,0.955,True,0.2224373513445937,0.4302163618001929,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_G2M_CHECKPOINT,4290,0.945,True,0.2538920039602925,0.5007810864497438,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_GLYCOLYSIS,4290,0.955,True,0.3440849476194154,0.8668303843939027,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_HYPOXIA,4290,0.975,True,0.4792699672888159,1.2828668289220408,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_IL6_JAK_STAT3_SIGNALING,4290,0.9885057471264368,True,0.3760807096443684,1.376162495774215,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_INFLAMMATORY_RESPONSE,4290,0.99,True,0.2946591207471208,0.6549717054978376,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_INTERFERON_GAMMA_RESPONSE,4290,0.94,True,0.4017654576733231,1.0503117536524786,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,4290,0.93,True,0.4025629490696529,0.8512089619390144,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_P53_PATHWAY,4290,0.95,True,0.4444138176503,1.1831402284410422,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_TGF_BETA_SIGNALING,4290,0.9814814814814816,True,0.4872338721849247,1.0785129850724575,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,4290,0.98,True,0.4658145964108076,1.2436704319283944,False
GSE267226,GSM8262702,GSM8262702,COVID2,HALLMARK_WNT_BETA_CATENIN_SIGNALING,4290,0.9761904761904762,True,0.2953241482703319,0.5709282259119405,False
GSE267226,GSM8262702,GSM8262702,COVID2,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,4290,0.98,True,0.5199735487532077,2.221371622544851,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_IL1B,4290,1.0,True,0.0579429106814014,0.1118927600632886,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_IL1A,4290,1.0,True,0.0509357083290837,0.0945416806129168,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_IL1R1,4290,1.0,True,1.126805552791957,2.965356860244788,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_IL1RAP,4290,1.0,True,0.1700660949668264,0.2927383381942597,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_IL1RN,4290,1.0,True,0.0870146560911513,0.1653905581371521,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_IL1R2,4290,1.0,True,0.0993309530743026,0.1787007663488317,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_SIGIRR,4290,1.0,True,0.4351655671604848,0.8373937096383925,False
