patient,histology,uncertainty,broad,gene,cells,counts,detected_cells,sum_normalized_10000,detection_fraction,mean_normalized_10000
3,AIS,0.2,AT2-like,GSDMD,673,186,143,838.8016800953123,0.212481426448737,1.2463620803793645
3,AIS,0.2,AT2-like,IL1A,673,0,0,0.0,0.0,0.0
3,AIS,0.2,AT2-like,IL1B,673,2,2,12.83444790380919,0.0029717682020802376,0.019070502085897757
3,AIS,0.2,AT2-like,IL1R1,673,1139,415,5249.91351288591,0.6166419019316494,7.800763020632853
3,AIS,0.2,AT2-like,IL1R2,673,1,1,5.681818181818182,0.0014858841010401188,0.008442523301364312
3,AIS,0.2,AT2-like,IL1RAP,673,114,84,566.3863676950872,0.12481426448736999,0.8415844988039929
3,AIS,0.2,AT2-like,IL1RN,673,0,0,0.0,0.0,0.0
3,AIS,0.2,AT2-like,NLRP3,673,1,1,3.9154267815191854,0.0014858841010401188,0.005817870403446041
3,AIS,0.2,AT2-like,PYCARD,673,1,1,6.12369871402327,0.0014858841010401188,0.009099106558726998
3,AIS,0.2,AT2-like,SIGIRR,673,163,141,767.6427521943658,0.20950965824665677,1.140628160764288
3,AIS,0.2,Fibroblasts,GSDMD,123,33,26,205.97390515225732,0.21138211382113822,1.6745845947337994
3,AIS,0.2,Fibroblasts,IL1A,123,0,0,0.0,0.0,0.0
3,AIS,0.2,Fibroblasts,IL1B,123,12,1,63.291139240506325,0.008130081300813009,0.5145621076463929
3,AIS,0.2,Fibroblasts,IL1R1,123,268,77,1746.3674965027303,0.6260162601626016,14.198109727664475
3,AIS,0.2,Fibroblasts,IL1R2,123,1,1,4.448398576512456,0.008130081300813009,0.036165842085467116
3,AIS,0.2,Fibroblasts,IL1RAP,123,12,10,82.5095617915786,0.08130081300813008,0.6708094454599887
3,AIS,0.2,Fibroblasts,IL1RN,123,1,1,6.988120195667365,0.008130081300813009,0.05681398533062899
3,AIS,0.2,Fibroblasts,NLRP3,123,1,1,7.639419404125286,0.008130081300813009,0.06210910084654704
3,AIS,0.2,Fibroblasts,PYCARD,123,0,0,0.0,0.0,0.0
3,AIS,0.2,Fibroblasts,SIGIRR,123,3,2,18.547505381747555,0.016260162601626018,0.15079272668087443
3,AIS,0.2,Macrophages,GSDMD,31,14,9,57.984903206558215,0.2903225806451613,1.870480748598652
3,AIS,0.2,Macrophages,IL1A,31,0,0,0.0,0.0,0.0
3,AIS,0.2,Macrophages,IL1B,31,0,0,0.0,0.0,0.0
3,AIS,0.2,Macrophages,IL1R1,31,8,5,20.29402076258726,0.16129032258064516,0.6546458310512019
3,AIS,0.2,Macrophages,IL1R2,31,0,0,0.0,0.0,0.0
3,AIS,0.2,Macrophages,IL1RAP,31,2,2,7.334206826346675,0.06451612903225806,0.236587316978925
3,AIS,0.2,Macrophages,IL1RN,31,17,7,83.33559939945637,0.22580645161290322,2.6882451419179474
3,AIS,0.2,Macrophages,NLRP3,31,6,4,31.400877676240903,0.12903225806451613,1.0129315379432549
3,AIS,0.2,Macrophages,PYCARD,31,3,3,18.43769064720655,0.0967741935483871,0.5947642144260178
3,AIS,0.2,Macrophages,SIGIRR,31,2,2,5.102961475277295,0.06451612903225806,0.16461166049281598
3,AIS,0.2,Other assigned,GSDMD,114,49,36,354.0310743471094,0.3157894736842105,3.1055357398869243
3,AIS,0.2,Other assigned,IL1A,114,0,0,0.0,0.0,0.0
3,AIS,0.2,Other assigned,IL1B,114,7,4,41.480342684586525,0.03508771929824561,0.36386265512795196
3,AIS,0.2,Other assigned,IL1R1,114,91,35,704.8888911642292,0.30701754385964913,6.1832358874055195
3,AIS,0.2,Other assigned,IL1R2,114,7,5,50.48785691932618,0.043859649122807015,0.4428759378888261
3,AIS,0.2,Other assigned,IL1RAP,114,5,5,41.42259731255368,0.043859649122807015,0.36335611677678664
3,AIS,0.2,Other assigned,IL1RN,114,10,2,95.14344704323442,0.017543859649122806,0.8345916407301265
3,AIS,0.2,Other assigned,NLRP3,114,3,2,16.174019979147545,0.017543859649122806,0.14187736823813635
3,AIS,0.2,Other assigned,PYCARD,114,2,2,10.660739945079277,0.017543859649122806,0.09351526267613401
3,AIS,0.2,Other assigned,SIGIRR,114,31,25,222.66083862585702,0.21929824561403508,1.953165251104009
3,AIS,0.2,Other epithelial,GSDMD,286,101,72,368.19129909470115,0.2517482517482518,1.2873821646667873
3,AIS,0.2,Other epithelial,IL1A,286,0,0,0.0,0.0,0.0
3,AIS,0.2,Other epithelial,IL1B,286,2,2,8.027813900619329,0.006993006993006993,0.028069279372794857
3,AIS,0.2,Other epithelial,IL1R1,286,381,140,1570.9691599427726,0.48951048951048953,5.492899160639065
3,AIS,0.2,Other epithelial,IL1R2,286,1,1,1.2532898859506203,0.0034965034965034965,0.004382132468358812
3,AIS,0.2,Other epithelial,IL1RAP,286,27,20,142.2573874098612,0.06993006993006994,0.49740345248203216
3,AIS,0.2,Other epithelial,IL1RN,286,4,3,14.932895748207017,0.01048951048951049,0.05221292219652803
3,AIS,0.2,Other epithelial,NLRP3,286,0,0,0.0,0.0,0.0
3,AIS,0.2,Other epithelial,PYCARD,286,2,2,5.61478125151513,0.006993006993006993,0.01963210227802493
3,AIS,0.2,Other epithelial,SIGIRR,286,112,71,409.5686278599634,0.24825174825174826,1.4320581393705014
3,AIS,0.2,Other myeloid,GSDMD,28,16,12,109.45183660075601,0.42857142857142855,3.908994164312715
3,AIS,0.2,Other myeloid,IL1A,28,0,0,0.0,0.0,0.0
